codigo,nombre_cuenta,imputable,is_group,nivel,codigo_padre,root_type
2.1.01.06,Cuentas a pagar por operaciones financieras c/p,N,1,4,2.1.01,Liability
2.1.01.06.01,Cuentas a pagar por operaciones financieras con el sector privado interno c/p,S,0,5,2.1.01.06,Liability
2.1.01.06.02,Cuentas a pagar por operaciones financieras con el sector público c/p,S,0,5,2.1.01.06,Liability
2.1.01.06.03,Cuentas a pagar por operaciones financieras con el sector externo c/p,S,0,5,2.1.01.06,Liability
2.1.01.07,Viáticos a pagar a corto plazo,N,1,4,2.1.01,Liability
2.1.01.07.01,Viáticos dentro del país a pagar c/p,S,0,5,2.1.01.07,Liability
2.1.01.07.02,Viáticos fuera del país a pagar c/p,S,0,5,2.1.01.07,Liability
2.1.01.07.99,Otros viáticos a pagar c/p,S,0,5,2.1.01.07,Liability
2.1.01.08,Cuentas por pagar de origen tributario,N,1,4,2.1.01,Liability
2.1.01.08.01,Cuentas por pagar de origen tributario con el sector privado,S,0,5,2.1.01.08,Liability
2.1.01.08.02,Cuentas por pagar de origen tributario con el sector público,S,0,5,2.1.01.08,Liability
2.1.01.99,Cuentas varias a pagar c/p,N,1,4,2.1.01,Liability
2.1.01.99.01,Cuentas varias a pagar al sector privado interno c/p,S,0,5,2.1.01.99,Liability
2.1.01.99.02,Cuentas varias a pagar al sector público c/p,S,0,5,2.1.01.99,Liability
2.1.01.99.03,Cuentas varias a pagar al sector externo c/p,S,0,5,2.1.01.99,Liability
2.1.02,Préstamos a pagar en el corto plazo,N,1,3,2.1,Liability
2.1.02.01,Sobregiro Bancario,N,1,4,2.1.02,Liability
2.1.02.01.01,Obligaciones de Pago por Sobregiro Bancario de la Tesorería Nacional,S,0,5,2.1.02.01,Liability
2.1.02.01.02,Obligaciones de Pago por Sobregiro Bancario de las DAFS,S,0,5,2.1.02.01,Liability
2.1.02.02,Endeudamiento de Tesorería a corto plazo,N,1,4,2.1.02,Liability
2.1.02.02.01,Letras de Tesorería c/p,N,1,5,2.1.02.02,Liability
2.1.02.02.01.01,Letras de Tesorería deuda interna a pagar c/p,S,0,6,2.1.02.02.01,Liability
2.1.02.02.01.02,Letras de Tesorería deuda externa a pagar c/p,S,0,6,2.1.02.02.01,Liability
2.1.02.02.99,Otro endeudamiento de tesorería c/p,N,1,5,2.1.02.02,Liability
2.1.02.02.99.01,Otro endeudamiento interno de tesorería c/p,S,0,6,2.1.02.02.99,Liability
2.1.02.02.99.02,Otro endeudamiento externo de tesorería c/p,S,0,6,2.1.02.02.99,Liability
2.1.02.03,Títulos-valores de la deuda pública a pagar a corto plazo,N,1,4,2.1.02,Liability
2.1.02.03.01,Títulos-valores de la deuda pública interna a pagar c/p,N,1,5,2.1.02.03,Liability
2.1.02.03.01.01,Títulos-valores de la deuda pública interna a pagar c/p - Capital,S,0,6,2.1.02.03.01,Liability
2.1.02.03.01.02,Títulos-valores de la deuda pública interna a pagar c/p - Intereses devengados,S,0,6,2.1.02.03.01,Liability
2.1.02.03.02,Títulos-valores de la deuda pública externa a pagar c/p,N,1,5,2.1.02.03,Liability
2.1.02.03.02.01,Títulos-valores de la deuda pública externa a pagar c/p - Capital,S,0,6,2.1.02.03.02,Liability
2.1.02.03.02.02,Títulos-valores de la deuda pública externa a pagar c/p - Intereses devengados,S,0,6,2.1.02.03.02,Liability
2.1.02.04,Préstamos a pagar a corto plazo,N,1,4,2.1.02,Liability
2.1.02.04.01,Préstamos del sector privado interno a pagar c/p,N,1,5,2.1.02.04,Liability
2.1.02.04.01.01,Préstamos de empresas privadas a pagar c/p,S,0,6,2.1.02.04.01,Liability
2.1.02.04.01.02,Intereses devengados por préstamos de empresas privadas a pagar c/p,S,0,6,2.1.02.04.01,Liability
2.1.02.04.02,Préstamos del sector público a pagar c/p,N,1,5,2.1.02.04,Liability
2.1.02.04.02.01,Préstamos del sector público a pagar c/p,S,0,6,2.1.02.04.02,Liability
2.1.02.04.02.02,Intereses devengados por préstamos a pagar c/p,S,0,6,2.1.02.04.02,Liability
2.1.02.04.03,Préstamos del sector externo a pagar c/p,N,1,5,2.1.02.04,Liability
2.1.02.04.03.01,Préstamos del sector externo a `pagar c/p,S,0,6,2.1.02.04.03,Liability
2.1.02.04.03.02,Intereses devengados por préstamos a pagar c/p,S,0,6,2.1.02.04.03,Liability
2.1.03,Porción corriente de préstamos a largo plazo,N,1,3,2.1,Liability
2.1.03.01,Porción corriente de préstamos la deuda pública a largo plazo,N,1,4,2.1.03,Liability
